,Episode,Epsilon,Reward,Mean_Reward,Time
342,342.0,0.1800916657318127,9.256616645574907,-0.09582127759808409,500.0
343,343.0,0.17919120740315364,23.683814122641643,0.07736970789046721,500.0
344,344.0,0.17829525136613786,45.4100035298994,2.9631775083965897,500.0
345,345.0,0.17740377510930716,6.800536896136,2.536227008737797,500.0
346,346.0,0.17651675623376062,20.396902941459338,1.8849680654864758,500.0
347,347.0,0.1756341724525918,-3.527137967110747,4.449183822401583,324.0
348,348.0,0.17475600159032884,48.56424556871677,4.685313134700076,500.0
349,349.0,0.17388222158237718,26.90199730175721,5.597063208909439,500.0
350,350.0,0.1730128104744653,32.861576179473275,6.000184251679352,500.0
351,351.0,0.17214774642209296,5.102399680593226,5.835117892080661,500.0
352,352.0,0.1712870076899825,54.69699994366312,6.39860596699751,500.0
353,353.0,0.17043057265153258,39.09515928660701,8.797020644628335,500.0
354,354.0,0.16957841978827493,46.46775362346625,10.317791585639824,500.0
355,355.0,0.16873052768933355,5.021817953733651,10.698223623599487,500.0
356,356.0,0.1678868750508869,24.64166209974144,11.339259192691756,500.0
357,357.0,0.16704744067563246,-17.928716679409856,11.60236303412528,500.0
358,358.0,0.1662122034722543,-5.8892490929993,12.47983112298404,500.0
359,359.0,0.16538114245489302,80.5319252892354,13.312428211263367,500.0
360,360.0,0.16455423674261854,29.382465703092215,12.929333533453084,500.0
361,361.0,0.16373146555890544,77.15160289965003,13.404836681497672,500.0
362,362.0,0.16291280823111093,15.392782258662258,13.611157694143014,500.0
363,363.0,0.16209824418995536,43.851405384061415,13.835266451797075,500.0
364,364.0,0.16128775296900558,70.04852835273789,14.775747353601183,500.0
365,365.0,0.16048131420416054,-8.436141622481557,13.466054764542072,500.0
366,366.0,0.15967890763313974,66.58498881132135,14.318585913415921,500.0
367,367.0,0.15888051309497406,29.25267091691319,14.234419273473454,500.0
368,368.0,0.1580861105294992,24.52113700383814,13.814274662916922,500.0
369,369.0,0.1572956799768517,-32.728137073274674,14.79325020791743,500.0
370,370.0,0.15650920157696743,20.32466137164852,14.72920065184268,500.0
371,371.0,0.1557266555690826,-4.674491666764845,14.608612040091367,500.0
372,372.0,0.1549480222912372,65.14027265136684,15.27271389820591,500.0
373,373.0,0.15417328217978102,-8.788012377525071,15.042099377151779,500.0
374,374.0,0.1534024157688821,-18.00128374900983,14.602319457682169,500.0
375,375.0,0.1526354036900377,25.28176821737352,15.368138368823475,500.0
376,376.0,0.1518722266715875,0.16265013710544257,14.764883576345301,500.0
377,377.0,0.15111286553822956,32.57757015173741,14.284454124618996,500.0
